"File","Title","Description","OGTitleMissing","OGDescriptionMissing"
"shops/seoul/gangnam-gu/청담동/프리미엄테라피/index.html","프리미엄테라피 | 강남구 청담동 이용 안내","강남구 청담동 지역의 프리미엄테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangdong-gu/강일동/한국미인테라피/index.html","한국미인테라피 | 강동구 강일동 이용 안내","강동구 강일동 지역의 한국미인테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangdong-gu/강일동/너무이쁜테라피/index.html","너무이쁜테라피 | 강동구 강일동 이용 안내","강동구 강일동 지역의 너무이쁜테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangdong-gu/강일동/love테라피/index.html","love테라피 | 강동구 강일동 이용 안내","강동구 강일동 지역의 love테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangdong-gu/강일동/프리미엄테라피/index.html","프리미엄테라피 | 강동구 강일동 이용 안내","강동구 강일동 지역의 프리미엄테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangdong-gu/강일동/마인드좋은테라피/index.html","마인드좋은테라피 | 강동구 강일동 이용 안내","강동구 강일동 지역의 마인드좋은테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangdong-gu/고덕동/한국미인테라피/index.html","한국미인테라피 | 강동구 고덕동 이용 안내","강동구 고덕동 지역의 한국미인테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangdong-gu/고덕동/너무이쁜테라피/index.html","너무이쁜테라피 | 강동구 고덕동 이용 안내","강동구 고덕동 지역의 너무이쁜테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangdong-gu/고덕동/love테라피/index.html","love테라피 | 강동구 고덕동 이용 안내","강동구 고덕동 지역의 love테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
"shops/seoul/gangdong-gu/고덕동/프리미엄테라피/index.html","프리미엄테라피 | 강동구 고덕동 이용 안내","강동구 고덕동 지역의 프리미엄테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","True","True"
