"업체명","적용지역","광역지역","상위지역","하위지역","대표역","대표역주소","위치표시","주소표시","역거리km","역사용여부","계산상가까운역"
"한국미인테라피","경기","경기","동두천시","불현동","동두천중앙역","경기도 동두천시 동두천로 228(생연동 682)","동두천중앙역 인근","경기도 동두천시 동두천로 228(생연동 682)","0.64","Y","동두천중앙역"
"한국미인테라피","경기","경기","동두천시","상패동","동두천중앙역","경기도 동두천시 동두천로 228(생연동 682)","동두천중앙역 인근","경기도 동두천시 동두천로 228(생연동 682)","2.21","Y","동두천중앙역"
"한국미인테라피","경기","경기","동두천시","생연동","동두천중앙역","경기도 동두천시 동두천로 228(생연동 682)","동두천중앙역 인근","경기도 동두천시 동두천로 228(생연동 682)","0.54","Y","동두천중앙역"
"한국미인테라피","경기","경기","동두천시","소요동","동두천역","경기도 동두천시 평화로 2687(동두천동 245-210)","동두천역 인근","경기도 동두천시 평화로 2687(동두천동 245-210)","0.33","Y","동두천역"
"한국미인테라피","경기","경기","동두천시","송내동","지행역","경기도 동두천시 평화로 2285(지행동)","지행역 인근","경기도 동두천시 평화로 2285(지행동)","1.35","Y","지행역"
"한국미인테라피","경기","경기","동두천시","중앙동","동두천중앙역","경기도 동두천시 동두천로 228(생연동 682)","동두천중앙역 인근","경기도 동두천시 동두천로 228(생연동 682)","0.72","Y","동두천중앙역"
"한국미인테라피","경기","경기","부천시-소사구","괴안동","역곡역","경기도 부천시 원미구 역곡로 1(역곡동)","역곡역 인근","경기도 부천시 원미구 역곡로 1(역곡동)","0.33","Y","역곡역"
"한국미인테라피","경기","경기","부천시-소사구","범박동","소새울역","경기도 부천시 소사로 지하 284","소새울역 인근","경기도 부천시 소사로 지하 284","1.29","Y","소새울역"
"한국미인테라피","경기","경기","부천시-소사구","소사본동","소새울역","경기도 부천시 소사로 지하 284","소새울역 인근","경기도 부천시 소사로 지하 284","0.59","Y","소새울역"
"한국미인테라피","경기","경기","부천시-소사구","송내동","중동역","경기도 부천시 소사구 중동로 73","중동역 인근","경기도 부천시 소사구 중동로 73","0.44","Y","중동역"
"한국미인테라피","경기","경기","부천시-소사구","심곡본동","부천역","경기도 부천시 소사구 부천로 1","부천역 인근","경기도 부천시 소사구 부천로 1","0.68","Y","부천역"
"한국미인테라피","경기","경기","부천시-소사구","역곡동","","","역곡동 중심","경기 부천시 소사구 역곡동","","N",""
"한국미인테라피","경기","경기","부천시-소사구","옥길동","천왕역","서울특별시 구로구 오리로 지하1154(천왕동)","천왕역 인근","서울특별시 구로구 오리로 지하1154(천왕동)","2.26","Y","천왕역"
"한국미인테라피","경기","경기","부천시-오정구","고강동","원종역","경기도 부천시 원종동 404","원종역 인근","경기도 부천시 원종동 404","1.45","Y","원종역"
"한국미인테라피","경기","경기","부천시-오정구","고강본동","","","고강본동 중심","경기 부천시 오정구 고강본동","","N",""
"한국미인테라피","경기","경기","부천시-오정구","성곡동","","","성곡동 중심","경기 부천시 오정구 성곡동","","N",""
"한국미인테라피","경기","경기","부천시-오정구","신흥동","신중동역","경기도 부천시 원미구 길주로 지하 314 (중동)","신중동역 인근","경기도 부천시 원미구 길주로 지하 314 (중동)","1.89","Y","신중동역"
"한국미인테라피","경기","경기","부천시-오정구","오정동","","","오정동 중심","경기 부천시 오정구 오정동","","N",""
"한국미인테라피","경기","경기","부천시-오정구","원종동","","","원종동 중심","경기 부천시 오정구 원종동","","N",""
"한국미인테라피","경기","경기","부천시-원미구","도당동","춘의역","경기도 부천시 원미구 길주로 지하 406 (춘의동)","춘의역 인근","경기도 부천시 원미구 길주로 지하 406 (춘의동)","1.21","Y","춘의역"
"한국미인테라피","경기","경기","부천시-원미구","상동","상동역","경기도 부천시 원미구 길주로 지하 104 (상동)","상동역 인근","경기도 부천시 원미구 길주로 지하 104 (상동)","0.01","Y","상동역"
"한국미인테라피","경기","경기","부천시-원미구","소사동","소사역","경기도 부천시 소사구 경인로 363","소사역 인근","경기도 부천시 소사구 경인로 363","0.38","Y","소사역"
"한국미인테라피","경기","경기","부천시-원미구","심곡동","부천역","경기도 부천시 소사구 부천로 1","부천역 인근","경기도 부천시 소사구 부천로 1","0.79","Y","부천역"
"한국미인테라피","경기","경기","부천시-원미구","약대동","부천시청역","경기도 부천시 원미구 길주로 지하 202 (중동)","부천시청역 인근","경기도 부천시 원미구 길주로 지하 202 (중동)","1.10","Y","부천시청역"
"한국미인테라피","경기","경기","부천시-원미구","역곡동","역곡역","경기도 부천시 원미구 역곡로 1(역곡동)","역곡역 인근","경기도 부천시 원미구 역곡로 1(역곡동)","0.64","Y","역곡역"
"한국미인테라피","경기","경기","부천시-원미구","원미동","소사역","경기도 부천시 소사구 경인로 363","소사역 인근","경기도 부천시 소사구 경인로 363","1.15","Y","소사역"
"한국미인테라피","경기","경기","부천시-원미구","중동","중동역","경기도 부천시 소사구 중동로 73","중동역 인근","경기도 부천시 소사구 중동로 73","0.05","Y","중동역"
"한국미인테라피","경기","경기","부천시-원미구","춘의동","부천종합운동장역","경기도 부천시 원미구 길주로 지하 502 (춘의동)","부천종합운동장역 인근","경기도 부천시 원미구 길주로 지하 502 (춘의동)","0.56","Y","부천종합운동장역"
