"업체명","적용지역","광역지역","상위지역","하위지역","지역위도","지역경도","지오코딩상태","대표역","역노선","역운영기관","역도로명주소","역거리km","검토필요","검색결과주소"
"한국미인테라피","경기","경기","광주시","신현동","37.3653600","127.1597800","OK","서현역","분당선","한국철도공사","경기도 성남시 분당구 성남대로 지하 601","3.89","","신현동, 동막골, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","쌍령동","37.4030800","127.2708400","OK","경기광주역","경강선","한국철도공사","경기도 광주시 광주역로 10 경기광주역사","1.62","","쌍령동, 대쌍령리, 광주시, 경기도, 12791, 대한민국"
"한국미인테라피","경기","경기","광주시","오포동","37.3654165","127.2326884","OK","경기광주역","경강선","한국철도공사","경기도 광주시 광주역로 10 경기광주역사","4.15","","오포동, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","초월읍","37.3959800","127.3100900","OK","초월역","경강선","한국철도공사","경기도 광주시 초월읍 경충대로 1066","2.67","","초월읍, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","탄벌동","37.4319006","127.2227948","OK","삼동역","경강선","한국철도공사","경기도 광주시 순암로 451","3.09","","탄벌동, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","광주시","퇴촌면","37.4587800","127.3256000","OK","신원역","경의중앙선","한국철도공사","경기도 양평군 양서면 신원역길 7  _x000D_","8.55","8km초과","퇴촌면, 광주시, 경기도, 대한민국"
"한국미인테라피","경기","경기","구리시","갈매동","37.6310565","127.1168045","OK","갈매역","경춘선","한국철도공사","경기도 구리시 갈매동 경춘북로 229(갈매동 502-18)","0.39","","갈매동, 구리시, 경기도, 11902, 대한민국"
"한국미인테라피","경기","경기","구리시","교문동","37.5875737","127.1275277","OK","장자호수공원역","8호선","구리도시공사","수택동 870-3 일원(장자2사거리)","0.92","","교문동, 구리시, 경기도, 11954, 대한민국"
"한국미인테라피","경기","경기","구리시","동구동","37.6117004","127.1393514","OK","동구릉역","8호선","구리도시공사","인창동 679-8 일원(구리도매시장)","0.40","","동구동 행정복지센터, 25, 동구릉로148번길, 인창동, 구리시, 경기도, 11915, 대한민국"
"한국미인테라피","경기","경기","구리시","수택동","37.5962736","127.1419836","OK","구리역","8호선","구리도시공사","인창동 675-1 일원(구리역공원)","0.71","","수택동, 구리시, 경기도, 11932, 대한민국"
"한국미인테라피","경기","경기","구리시","인창동","37.6130980","127.1319711","OK","동구릉역","8호선","구리도시공사","인창동 679-8 일원(구리도매시장)","0.39","","인창동, 구리시, 경기도, 11914, 대한민국"
"한국미인테라피","경기","경기","군포시","광정동","37.3652654","126.9277554","OK","산본역","안산과천선","한국철도공사","경기도 군포시 번영로 504","0.93","","광정동, 군포시, 경기도, 대한민국"
"한국미인테라피","경기","경기","군포시","군포동","","","OK","","","","","","역미배정",""
"한국미인테라피","경기","경기","군포시","궁내동","37.3596587","126.9218365","OK","산본역","안산과천선","한국철도공사","경기도 군포시 번영로 504","1.00","","궁내동, 산본동, 경기도, 대한민국"
"한국미인테라피","경기","경기","군포시","금정동","37.3653542","126.9393439","OK","금정역","경부선","한국철도공사","경기도 군포시 군포로 750","0.82","","금정동, 군포시, 경기도, 15827, 대한민국"
"한국미인테라피","경기","경기","군포시","대야동","37.3303161","126.9153537","OK","대야미역","안산과천선","한국철도공사","경기도 군포시 대야1로 28","0.27","","대야동, 군포시, 경기도, 15886, 대한민국"
"한국미인테라피","경기","경기","군포시","산본동","37.3595509","126.9203336","OK","수리산역","안산과천선","한국철도공사","경기도 군포시 번영로 385","1.13","","산본동, 광정동, 군포시, 경기도, 대한민국"
"한국미인테라피","경기","경기","군포시","송부동","37.3203965","126.9250291","OK","대야미역","안산과천선","한국철도공사","경기도 군포시 대야1로 28","1.12","","송부동, 군포시, 경기도, 대한민국"
"한국미인테라피","경기","경기","군포시","수리동","37.3559970","126.9210314","OK","수리산역","안산과천선","한국철도공사","경기도 군포시 번영로 385","0.75","","수리동, 산본동, 경기도, 대한민국"
